"","year","treat","amended_bool","amendment_C_kg_ha"
"266",1973,11,TRUE,3000
"267",1973,12,TRUE,3000
"268",1973,13,TRUE,3000
"269",1973,14,TRUE,3000
"270",1973,15,TRUE,3000
"271",1974,1,FALSE,NA
"272",1974,2,FALSE,NA
"273",1974,3,FALSE,NA
"274",1974,4,FALSE,NA
"275",1974,5,FALSE,NA
"276",1974,6,FALSE,NA
"277",1974,7,FALSE,NA
"278",1974,8,FALSE,NA
"279",1974,9,FALSE,NA
"280",1974,10,FALSE,NA
"281",1974,11,FALSE,NA
"282",1974,12,FALSE,NA
"283",1974,13,FALSE,NA
"284",1974,14,FALSE,NA
"285",1974,15,FALSE,NA
"286",1975,1,FALSE,NA
"287",1975,2,FALSE,NA
"288",1975,3,FALSE,NA
"289",1975,4,FALSE,NA
"290",1975,5,TRUE,3000
"291",1975,6,TRUE,3000
"292",1975,7,TRUE,3000
"293",1975,8,TRUE,3000
"294",1975,9,TRUE,3000
"295",1975,10,TRUE,3000
"296",1975,11,TRUE,3000
"297",1975,12,TRUE,3000
"298",1975,13,TRUE,3000
"299",1975,14,TRUE,3000
"300",1975,15,TRUE,3000
"301",1976,1,FALSE,NA
"302",1976,2,FALSE,NA
"303",1976,3,FALSE,NA
"304",1976,4,FALSE,NA
"305",1976,5,FALSE,NA
"306",1976,6,FALSE,NA
"307",1976,7,FALSE,NA
"308",1976,8,FALSE,NA
"309",1976,9,FALSE,NA
"310",1976,10,FALSE,NA
"311",1976,11,FALSE,NA
"312",1976,12,FALSE,NA
"313",1976,13,FALSE,NA
"314",1976,14,FALSE,NA
"315",1976,15,FALSE,NA
"316",1977,1,FALSE,NA
"317",1977,2,FALSE,NA
"318",1977,3,FALSE,NA
"319",1977,4,FALSE,NA
"320",1977,5,TRUE,3000
"321",1977,6,TRUE,3000
"322",1977,7,TRUE,3000
"323",1977,8,TRUE,3000
"324",1977,9,TRUE,3000
"325",1977,10,TRUE,3000
"326",1977,11,TRUE,3000
"327",1977,12,TRUE,3000
"328",1977,13,TRUE,3000
"329",1977,14,TRUE,3000
"330",1977,15,TRUE,3000
"331",1978,1,FALSE,NA
"332",1978,2,FALSE,NA
"333",1978,3,FALSE,NA
"334",1978,4,FALSE,NA
"335",1978,5,FALSE,NA
"336",1978,6,FALSE,NA
"337",1978,7,FALSE,NA
"338",1978,8,FALSE,NA
"339",1978,9,FALSE,NA
"340",1978,10,FALSE,NA
"341",1978,11,FALSE,NA
"342",1978,12,FALSE,NA
"343",1978,13,FALSE,NA
"344",1978,14,FALSE,NA
"345",1978,15,FALSE,NA
"346",1979,1,FALSE,NA
"347",1979,2,FALSE,NA
"348",1979,3,FALSE,NA
"349",1979,4,FALSE,NA
"350",1979,5,TRUE,3000
"351",1979,6,TRUE,3000
"352",1979,7,TRUE,3000
"353",1979,8,TRUE,3000
"354",1979,9,TRUE,3000
"355",1979,10,TRUE,3000
"356",1979,11,TRUE,3000
"357",1979,12,TRUE,3000
"358",1979,13,TRUE,3000
"359",1979,14,TRUE,3000
"360",1979,15,TRUE,3000
"361",1980,1,FALSE,NA
"362",1980,2,FALSE,NA
"363",1980,3,FALSE,NA
"364",1980,4,FALSE,NA
"365",1980,5,FALSE,NA
"366",1980,6,FALSE,NA
"367",1980,7,FALSE,NA
"368",1980,8,FALSE,NA
"369",1980,9,FALSE,NA
"370",1980,10,FALSE,NA
"371",1980,11,FALSE,NA
"372",1980,12,FALSE,NA
"373",1980,13,FALSE,NA
"374",1980,14,FALSE,NA
"375",1980,15,FALSE,NA
"376",1981,1,FALSE,NA
"377",1981,2,FALSE,NA
"378",1981,3,FALSE,NA
"379",1981,4,FALSE,NA
"380",1981,5,TRUE,3000
"381",1981,6,TRUE,3000
"382",1981,7,TRUE,3000
"383",1981,8,TRUE,3000
"384",1981,9,TRUE,3000
"385",1981,10,TRUE,3000
"386",1981,11,TRUE,3000
"387",1981,12,TRUE,3000
"388",1981,13,TRUE,3000
"389",1981,14,TRUE,3000
"390",1981,15,TRUE,3000
"391",1982,1,FALSE,NA
"392",1982,2,FALSE,NA
"393",1982,3,FALSE,NA
"394",1982,4,FALSE,NA
"395",1982,5,FALSE,NA
"396",1982,6,FALSE,NA
"397",1982,7,FALSE,NA
"398",1982,8,FALSE,NA
"399",1982,9,FALSE,NA
"400",1982,10,FALSE,NA
"401",1982,11,FALSE,NA
"402",1982,12,FALSE,NA
"403",1982,13,FALSE,NA
"404",1982,14,FALSE,NA
"405",1982,15,FALSE,NA
"406",1983,1,FALSE,NA
"407",1983,2,FALSE,NA
"408",1983,3,FALSE,NA
"409",1983,4,FALSE,NA
"410",1983,5,TRUE,3000
"411",1983,6,TRUE,3000
"412",1983,7,TRUE,3000
"413",1983,8,TRUE,3000
"414",1983,9,TRUE,3000
"415",1983,10,TRUE,3000
"416",1983,11,TRUE,3000
"417",1983,12,TRUE,3000
"418",1983,13,TRUE,3000
"419",1983,14,TRUE,3000
"420",1983,15,TRUE,3000
"421",1984,1,FALSE,NA
"422",1984,2,FALSE,NA
"423",1984,3,FALSE,NA
"424",1984,4,FALSE,NA
"425",1984,5,FALSE,NA
"426",1984,6,FALSE,NA
"427",1984,7,FALSE,NA
"428",1984,8,FALSE,NA
"429",1984,9,FALSE,NA
"430",1984,10,FALSE,NA
"431",1984,11,FALSE,NA
"432",1984,12,FALSE,NA
"433",1984,13,FALSE,NA
"434",1984,14,FALSE,NA
"435",1984,15,FALSE,NA
"436",1985,1,FALSE,NA
"437",1985,2,FALSE,NA
"438",1985,3,FALSE,NA
"439",1985,4,FALSE,NA
"440",1985,5,TRUE,3000
"441",1985,6,TRUE,3000
"442",1985,7,TRUE,3000
"443",1985,8,TRUE,3000
"444",1985,9,TRUE,3000
"445",1985,10,TRUE,3000
"446",1985,11,TRUE,3000
"447",1985,12,TRUE,3000
"448",1985,13,TRUE,3000
"449",1985,14,TRUE,3000
"450",1985,15,TRUE,3000
"451",1986,1,FALSE,NA
"452",1986,2,FALSE,NA
"453",1986,3,FALSE,NA
"454",1986,4,FALSE,NA
"455",1986,5,FALSE,NA
"456",1986,6,FALSE,NA
"457",1986,7,FALSE,NA
"458",1986,8,FALSE,NA
"459",1986,9,FALSE,NA
"460",1986,10,FALSE,NA
"461",1986,11,FALSE,NA
"462",1986,12,FALSE,NA
"463",1986,13,FALSE,NA
"464",1986,14,FALSE,NA
"465",1986,15,FALSE,NA
"466",1987,1,FALSE,NA
"467",1987,2,FALSE,NA
"468",1987,3,FALSE,NA
"469",1987,4,FALSE,NA
"470",1987,5,TRUE,3000
"471",1987,6,TRUE,3000
"472",1987,7,TRUE,3000
